An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,cod_siiir_pj,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email,numar_elevi,limba_de_predare,nivel_invatamant,numar_subunitati,nr_rural,nr_urban
2024-2025,AB,Alba Iulia,1026,Urban,161102589,"Colegiul Național ""Horea, Cloșca Și Crișan"" Alba Iulia",Alba Iulia,1026,Urban,308139,161102589,"Colegiul ""Hcc"" Alba Iulia","Colegiul Național ""Horea, Cloșca Și Crișan"" Alba Iulia",Unitate de Învățământ,Pj,4613393,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,1 Decembrie 1918,11,510207.0,258835164.0,258835165.0,Hcc.Alba@Isjalba.Ro,741.0,['Limba română'],['Liceal'],1.0,0.0,27.0
2024-2025,AB,Alba Iulia,1026,Urban,161102241,"Colegiul Național Militar ""Mihai Viteazul"" Alba Iulia",Alba Iulia,1026,Urban,12150005,161102241,Colmil Alba Iulia,"Colegiul Național Militar ""Mihai Viteazul"" Alba Iulia",Unitate de Învățământ,Pj,12150005,Un Schimb/Zi,Ministerul Apărării Naționale,Publică de Interes Național Și Local,Revoluției 1989,25,510073.0,258834009.0,258834013.0,Colmil.Alba@Isjalba.Ro,585.0,['Limba română'],['Liceal'],1.0,0.0,4.0
2024-2025,AB,Alba Iulia,1026,Urban,161102372,"Colegiul Tehnic ""Apulum"" Alba Iulia",Alba Iulia,1026,Urban,1062421,161102372,"Ct ""Apulum"" Alba Iulia","Colegiul Tehnic ""Apulum"" Alba Iulia",Unitate de Învățământ,Pj,4562788,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Gheorghe Pop de Băsești,2,510215.0,258834102.0,258834102.0,Cta.Alba@Isjalba.Ro,697.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar', 'Profesional']",1.0,0.0,32.0
2024-2025,AB,Alba Iulia,1026,Urban,161206121,Creșa „Creștem Frumos” Alba Iulia,Alba Iulia,1026,Urban,,161206121,Creșa „Creștem Frumos”,Creșa „Creștem Frumos” Alba Iulia,Unitate de Învățământ,Pj,41197415,Program Prelungit,Taxă,Privată,Calea Moților,150A,,744627922.0,744627922.0,Cresacrestemfrumos@Isjalba.Ro,17.0,['Limba română'],['Antepreşcolar'],1.0,0.0,2.0
2024-2025,AB,Alba Iulia,1026,Urban,161106046,Creșa Municipiului Alba Iulia,Alba Iulia,1026,Urban,,161106046,Creșa Alba Iulia,Creșa Municipiului Alba Iulia,Unitate de Învățământ,Pj,45015354,Program Prelungit,Buget,Publică de Interes Național Și Local,Alexandru cel Bun,13,510049.0,749949577.0,749949577.0,Cresa.Alba@Isjalba.Ro,245.0,['Limba română'],['Antepreşcolar'],1.0,0.0,2.0
2024-2025,AB,Alba Iulia,1026,Urban,161202447,"Grădinița ""Licurici"" Alba Iulia",Alba Iulia,1026,Urban,832931,161202447,"Grădinița ""Licurici"" Alba Iulia","Grădinița ""Licurici"" Alba Iulia",Unitate de Învățământ,Pj,30566320,Program Prelungit,Taxă,Privată,Moților,2,510134.0,258832931.0,258832931.0,Gpn.Licurici@Isjalba.Ro,40.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,AB,Alba Iulia,1026,Urban,161202809,"Grădinița cu Program Normal ""Emanuel"" Alba Iulia",Alba Iulia,1026,Urban,3129821,161202809,"Gpn ""Emanuel"" Alba Iulia","Grădinița cu Program Normal ""Emanuel"" Alba Iulia",Unitate de Învățământ,Pj,36575328,Program Normal,Sponsorizare,Privată,Ferdinand,18,510146.0,258813979.0,258813979.0,Gpn.Emanuel@Isjalba.Ro,106.0,['Limba română'],['Preșcolar'],2.0,0.0,6.0
2024-2025,AB,Alba Iulia,1026,Urban,161102526,"Grădinița cu Program Prelungit ""Dumbrava Minunată"" Alba Iulia",Alba Iulia,1026,Urban,1230432,161102526,Gpp„Dumbrava Minunată”Alba Iulia,"Grădinița cu Program Prelungit ""Dumbrava Minunată"" Alba Iulia",Unitate de Învățământ,Pj,29074219,Program Prelungit,Buget,Publică de Interes Național Și Local,Str. George Barițiu,8,510072.0,358102921.0,358102921.0,Gppdm.Alba@Isjalba.Ro,286.0,['Limba română'],['Preșcolar'],2.0,0.0,8.0
2024-2025,AB,Alba Iulia,1026,Urban,161102508,"Grădinița cu Program Prelungit ""Scufița Roșie"" Alba Iulia",Alba Iulia,1026,Urban,301260,161102508,Gpp „Scufița Roșie” Alba Iulia,"Grădinița cu Program Prelungit ""Scufița Roșie"" Alba Iulia",Unitate de Învățământ,Pj,29073990,Program Prelungit,Buget,Publică de Interes Național Și Local,Călărașilor,2,510086.0,258811820.0,258811820.0,Gppsr.Alba@Isjalba.Ro,306.0,['Limba română'],['Preșcolar'],3.0,0.0,11.0
2024-2025,AB,Alba Iulia,1026,Urban,161102562,Grădinița cu Program Prelungit Nr. 11 Alba Iulia,Alba Iulia,1026,Urban,301296,161102562,Gpp Nr. 11 Alba Iulia,Grădinița cu Program Prelungit Nr. 11 Alba Iulia,Unitate de Învățământ,Pj,29077100,Program Prelungit,Buget,Publică de Interes Național Și Local,Vasile Goldiș,14B,510213.0,258834395.0,258834395.0,Gpp11.Alba@Isjalba.Ro,292.0,['Limba română'],['Preșcolar'],2.0,0.0,12.0
2024-2025,AB,Alba Iulia,1026,Urban,161102874,Grădinița cu Program Prelungit Nr. 13 Alba Iulia,Alba Iulia,1026,Urban,1162946,161102874,Gpp Nr. 13 Alba Iulia,Grădinița cu Program Prelungit Nr. 13 Alba Iulia,Unitate de Învățământ,Pj,29074910,Program Prelungit,Buget,Publică de Interes Național Și Local,Energiei,21,510057.0,258820057.0,258820057.0,Gpp13.Alba@Isjalba.Ro,290.0,['Limba română'],['Preșcolar'],2.0,0.0,14.0
2024-2025,AB,Alba Iulia,1026,Urban,161103079,Grădinița cu Program Prelungit Nr. 8 Alba Iulia,Alba Iulia,1026,Urban,301272,161103079,Gpp Nr. 8 Alba Iulia,Grădinița cu Program Prelungit Nr. 8 Alba Iulia,Unitate de Învățământ,Pj,29074200,Program Prelungit,Buget,Publică de Interes Național Și Local,Mihai Viteazul,23,510010.0,258835031.0,258835031.0,Gpp8.Alba@Isjalba.Ro,203.0,['Limba română'],['Preșcolar'],3.0,0.0,9.0
2024-2025,AB,Alba Iulia,1026,Urban,161100108,Grădinița cu Program Prelungit Nr.16 Alba Iulia,Alba Iulia,1026,Urban,1230444,161100108,Gpp Nr.16 Alba Iulia,Grădinița cu Program Prelungit Nr.16 Alba Iulia,Unitate de Învățământ,Pj,29074170,Program Prelungit,Buget,Publică de Interes Național Și Local,Tudor Vladimirescu,143,510167.0,258815596.0,258815596.0,Gpp16.Alba@Isjalba.Ro,268.0,['Limba română'],['Preșcolar'],2.0,0.0,11.0
2024-2025,AB,Alba Iulia,1026,Urban,161102838,Grădinița cu Program Prelungit Step By Step Nr. 12 Alba Iulia,Alba Iulia,1026,Urban,1149322,161102838,Gpp Nr. 12 Alba Iulia,Grădinița cu Program Prelungit Step By Step Nr. 12 Alba Iulia,Unitate de Învățământ,Pj,18953743,Program Prelungit,Buget,Publică de Interes Național Și Local,Ștefan cel Mare,11,510054.0,258830879.0,258830879.0,Gpp12.Alba@Isjalba.Ro,289.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,AB,Alba Iulia,1026,Urban,121100011,Inspectoratul Școlar Județean Alba,Alba Iulia,1026,Urban,1,121100011,Isj Alba,Inspectoratul Școlar Județean Alba,Inspectorat Școlar Județean,Pj,4562648,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Gabriel Bethlen,7,510009.0,258817255.0,258817663.0,Secretariat@Isjalba.Ro,,,,,,
2024-2025,AB,Alba Iulia,1026,Urban,161102933,Liceul cu Program Sportiv Alba Iulia,Alba Iulia,1026,Urban,3100344,161102933,Lic. Sportiv Alba Iulia,Liceul cu Program Sportiv Alba Iulia,Unitate de Învățământ,Pj,4613377,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Ștefan cel Mare,25,510047.0,258835346.0,258832813.0,Ls.Alba@Isjalba.Ro,1207.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",2.0,0.0,43.0
2024-2025,AB,Alba Iulia,1026,Urban,161102716,"Liceul de Arte ""Regina Maria"" Alba Iulia",Alba Iulia,1026,Urban,3040398,161102716,Lic. Arte Alba Iulia,"Liceul de Arte ""Regina Maria"" Alba Iulia",Unitate de Învățământ,Pj,5504718,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Călărași,2,510086.0,258812473.0,258812473.0,Lmap.Alba@Isjalba.Ro,576.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,29.0
2024-2025,AB,Alba Iulia,1026,Urban,161100022,"Liceul Tehnologic ""Alexandru Domșa"" Alba Iulia",Alba Iulia,1026,Urban,1180223,161100022,"Lic.Tehn. ""Al.Domșa"" Alba Iulia","Liceul Tehnologic ""Alexandru Domșa"" Alba Iulia",Unitate de Învățământ,Pj,4562630,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Tudor Vladimirescu,143,510189.0,258816065.0,258817811.0,Ad.Alba@Isjalba.Ro,1022.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar', 'Profesional']",3.0,0.0,46.0
2024-2025,AB,Alba Iulia,1026,Urban,161103495,"Liceul Tehnologic ""Dorin Pavel"" Alba Iulia",Alba Iulia,1026,Urban,308270,161103495,"Lic. Tehn. ""Dorin Pavel"" Alba Iulia","Liceul Tehnologic ""Dorin Pavel"" Alba Iulia",Unitate de Învățământ,Pj,4562710,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Tudor Vladimirescu,39,510167.0,258816938.0,258811803.0,Dp.Alba@Isjalba.Ro,597.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar', 'Profesional']",1.0,0.0,31.0
2024-2025,AB,Alba Iulia,1026,Urban,161102476,"Liceul Teologic Romano-Catolic ""Grof Majlath Gusztav Karoly"" Alba Iulia",Alba Iulia,1026,Urban,100185,161102476,Lic.Teol.Rom.-Cat.Alba Iulia,"Liceul Teologic Romano-Catolic ""Grof Majlath Gusztav Karoly"" Alba Iulia",Unitate de Învățământ,Pj,9431570,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Păcii,4,510009.0,258819869.0,258819869.0,Cat.Alba@Isjalba.Ro,93.0,['Limba maghiară'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,14.0
2024-2025,AB,Alba Iulia,1026,Urban,161202397,"Liceul Teoretic ""Sfântul Iosif"" Alba Iulia",Alba Iulia,1026,Urban,3049459,161202397,"Lic. Teo. ""Sf. Iosif"" Alba Iulia","Liceul Teoretic ""Sfântul Iosif"" Alba Iulia",Unitate de Învățământ,Pj,7053860,Un Schimb/Zi,Taxă,Privată,Ferdinand I,19,510146.0,258811131.0,258811131.0,Lic.Iosif@Isjalba.Ro,255.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,19.0
2024-2025,AB,Alba Iulia,1026,Urban,171103134,Palatul Copiilor Alba Iulia,Alba Iulia,1026,Urban,311899,171103134,Palatul Copiilor Alba Iulia,Palatul Copiilor Alba Iulia,Palatul Copiilor,Pj,12817394,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Decebal,23,510093.0,258811750.0,258811750.0,Pc.Alba@Isjalba.Ro,,,,,,
2024-2025,AB,Alba Iulia,1026,Urban,161102847,"Seminarul Teologic Ortodox ""Sfântul Simion Ștefan"" Alba Iulia",Alba Iulia,1026,Urban,100324,161102847,Sem.Teo.Ortodox Alba Iulia,"Seminarul Teologic Ortodox ""Sfântul Simion Ștefan"" Alba Iulia",Unitate de Învățământ,Pj,7745852,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Bulevardul Transilvaniei,36A,510077.0,258834890.0,258834890.0,Stor.Alba@Isjalba.Ro,549.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,21.0
2024-2025,AB,Alba Iulia,1026,Urban,161103405,"Școala Gimnazială ""Avram Iancu"" Alba Iulia",Alba Iulia,1026,Urban,303660,161103405,"S08 ""Avram Iancu"" Alba Iulia","Școala Gimnazială ""Avram Iancu"" Alba Iulia",Unitate de Învățământ,Pj,12672013,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Moldovei,2,510144.0,258811548.0,258811548.0,Scai.Alba@Isjalba.Ro,865.0,['Limba română'],"['Gimnazial', 'Primar']",1.0,0.0,12.0
2024-2025,AB,Alba Iulia,1026,Urban,161102675,"Școala Gimnazială ""Ion Agârbiceanu"" Alba Iulia",Alba Iulia,1026,Urban,303672,161102675,"S08 ""Ion Agârbiceanu ""Alba Iulia","Școala Gimnazială ""Ion Agârbiceanu"" Alba Iulia",Unitate de Învățământ,Pj,12633715,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Vasile Goldiș,14,510209.0,258821875.0,258833105.0,Scia.Alba@Isjalba.Ro,787.0,['Limba română'],"['Gimnazial', 'Primar']",1.0,0.0,13.0
2024-2025,AB,Alba Iulia,1026,Urban,161102422,"Școala Gimnazială ""Mihai Eminescu"" Alba Iulia",Alba Iulia,1026,Urban,1163043,161102422,"S08 ""Mihai Eminescu"" Alba Iulia","Școala Gimnazială ""Mihai Eminescu"" Alba Iulia",Unitate de Învățământ,Pj,12795083,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Toporașilor,18,510056.0,258835093.0,258835093.0,Scme.Alba@Isjalba.Ro,1057.0,['Limba română'],"['Gimnazial', 'Primar']",1.0,0.0,9.0
2024-2025,AB,Alba Iulia,1026,Urban,161103477,"Școala Gimnazială ""Vasile Goldiș"" Alba Iulia",Alba Iulia,1026,Urban,303646,161103477,"S08 ""V.Goldiș"" Alba Iulia","Școala Gimnazială ""Vasile Goldiș"" Alba Iulia",Unitate de Învățământ,Pj,12817386,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Călărașilor,2,510086.0,258811737.0,258811737.0,Scvg.Alba@Isjalba.Ro,1007.0,['Limba română'],"['Gimnazial', 'Primar']",1.0,0.0,14.0
2024-2025,AB,Alba Iulia,1026,Urban,161205717,"Școala Postliceală ""Henri Coandă"" Alba Iulia",Alba Iulia,1026,Urban,,161205717,"Spl ""H.Coandă"" Alba Iulia","Școala Postliceală ""Henri Coandă"" Alba Iulia",Unitate de Învățământ,Pj,36499166,Un Schimb/Zi,Taxă,Privată,Vasile Goldis,14,510007.0,726208024.0,726208024.0,Sphc.Alba@Isjalba.Ro,53.0,['Limba română'],['Postliceal'],1.0,0.0,3.0
2024-2025,AB,Alba Iulia,1026,Urban,161202628,Școala Postliceală de Afaceri Alba Iulia,Alba Iulia,1026,Urban,3070410,161202628,Spl.Postl.de Afaceri Alba,Școala Postliceală de Afaceri Alba Iulia,Unitate de Învățământ,Pj,27123820,Un Schimb/Zi,Taxă,Privată,Avram Iancu,7A,510085.0,258819799.0,258819799.0,Ca.Alba@Isjalba.Ro,73.0,['Limba română'],['Postliceal'],1.0,0.0,6.0
2024-2025,AB,Alba Iulia,1026,Urban,161205735,Școala Postliceală Feg Alba Iulia,Alba Iulia,1026,Urban,407200879,161205735,Spl Feg Alba Iulia,Școala Postliceală Feg Alba Iulia,Unitate de Învățământ,Pj,36739935,Un Schimb/Zi,Taxă,Privată,Tudor Vladimirescu,39,510189.0,760663935.0,760663935.0,Feg.Alba@Isjalba.Ro,133.0,['Limba română'],['Postliceal'],1.0,0.0,6.0
2024-2025,AB,Alba Iulia,1026,Urban,161103373,Școala Postliceală Sanitară Alba Iulia,Alba Iulia,1026,Urban,1313519,161103373,Spl Alba Iulia,Școala Postliceală Sanitară Alba Iulia,Unitate de Învățământ,Pj,4613385,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Tudor Vladimirescu,39,510167.0,258812836.0,258812836.0,Sps.Alba@Isjalba.Ro,142.0,['Limba română'],['Postliceal'],1.0,0.0,4.0
2024-2025,AB,Alba Iulia,1026,Urban,161205726,"Școala Primară ,,1 Decembrie 1918” Alba Iulia",Alba Iulia,1026,Urban,12733780,161205726,"S04 „1 Decembrie 1918"" Alba Iulia","Școala Primară ,,1 Decembrie 1918” Alba Iulia",Unitate de Învățământ,Pj,30468071,Două Schimburi/Zi,Taxă,Privată,Calea Motilor,224,510128.0,763634148.0,763634148.0,Gpnls.Alba@Isjalba.Ro,149.0,['Limba română'],"['Antepreşcolar', 'Preșcolar', 'Primar']",1.0,0.0,8.0
2024-2025,AB,Albac,2149,Rural,161103206,"Liceul Tehnologic ""Țara Moților"" Albac",Albac,2149,Rural,304470,161103206,Lic.Teh. Albac,"Liceul Tehnologic ""Țara Moților"" Albac",Unitate de Învățământ,Pj,12848730,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,Closca,5,517005.0,258700768.0,258700768.0,Lt.Albac@Isjalba.Ro,348.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar', 'Profesional']",6.0,32.0,0.0
2024-2025,AB,Almașu Mare,2318,Rural,161102829,Școala Gimnazială Almașu Mare,Almașu Mare,2318,Rural,304561,161102829,S08 Almașu Mare,Școala Gimnazială Almașu Mare,Unitate de Învățământ,Pj,12817424,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Principala,238,517030.0,258850115.0,258850115.0,Sc.Almasu@Isjalba.Ro,57.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",4.0,16.0,0.0
2024-2025,AB,Arieșeni,2390,Rural,161103215,Liceul Tehnologic de Turism Și Alimentație Arieșeni,Arieșeni,2390,Rural,304664,161103215,Lic.Teh. Arieșeni,Liceul Tehnologic de Turism Și Alimentație Arieșeni,Unitate de Învățământ,Pj,12848714,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Str. Centru,8,517040.0,258779066.0,258779066.0,Lt.Arieseni@Isjalba.Ro,195.0,['Limba română'],"['Gimnazial', 'Liceal', 'Postliceal', 'Preșcolar', 'Primar']",2.0,17.0,0.0
2024-2025,AB,Avram Iancu,2586,Rural,161102603,"Școala Gimnazială ""Avram Iancu"" Avram Iancu",Avram Iancu,2586,Rural,304731,161102603,"S08 ""Avram Iancu"" Avram Iancu","Școala Gimnazială ""Avram Iancu"" Avram Iancu",Unitate de Învățământ,Pj,12857569,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Avram Iancu,27E,517065.0,258786063.0,258786063.0,Sc.Avramiancu@Isjalba.Ro,100.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",4.0,19.0,0.0
2024-2025,AB,Baia de Arieș,2924,Urban,161100085,"Liceul ""Dr. Lazăr Chirilă"" Baia de Arieș",Baia de Arieș,2924,Urban,1223776,161100085,Lic. Baia de Arieș,"Liceul ""Dr. Lazăr Chirilă"" Baia de Arieș",Unitate de Învățământ,Pj,4934636,Două Schimburi/Zi,Buget,Publică de Interes Național Și Local,22 Decembrie,41,515300.0,374555775.0,374092158.0,Lic.Baia@Isjalba.Ro,377.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar', 'Profesional']",2.0,0.0,25.0
2024-2025,AB,Berghin,2997,Rural,161102752,Școala Gimnazială Berghin,Berghin,2997,Rural,304834,161102752,S08 Berghin,Școala Gimnazială Berghin,Unitate de Învățământ,Pj,12864493,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Morii,34,517110.0,258854113.0,258854113.0,Sc.Berghin@Isjalba.Ro,132.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",4.0,19.0,0.0
2024-2025,AB,Bistra,3048,Rural,161103111,"Școala Gimnazială ""Nicodim Ganea"" Bistra",Bistra,3048,Rural,304901,161103111,"S08 ""Nicodim Ganea"" Bistra","Școala Gimnazială ""Nicodim Ganea"" Bistra",Unitate de Învățământ,Pj,12878952,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Petru Pavel Aron,6,517115.0,258773106.0,258773106.0,Sc.Bistra@Isjalba.Ro,329.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",5.0,23.0,0.0
